start_country,end_country,start_lat,start_long,end_lat,end_long,count
Chad,Cameroon,15,19,6,12,65397
Uzbekistan,Tajikistan,41,64,39,71,65152
Mali,Burkina Faso,17,-4,13,-2,64438
Benin,Togo,9.5,2.25,8,1.1667,64427
Argentina,Paraguay,-34,-64,-23,-58,64284
Trinidad and Tobago,Canada,11,-61,60,-95,63625
Pakistan,Kuwait,30,70,29.3375,47.6581,61987
Tanzania,Kenya,TZA,-6,1,38,61151
Benin,Cote d'Ivoire,9.5,2.25,8,-5,60847
Myanmar,India,22,98,20,77,60627
Greece,Turkey,39,22,39,35,59749
Romania,Canada,46,25,60,-95,59644
Guinea,Sierra Leone,11,-10,8.5,-11.5,58908
Turkey,Belgium,39,35,50.8333,4,58404
Ukraine,Germany,49,32,51,9,58163
Malaysia,Brunei Darussalam,2.5,112.5,4.5,114.6667,58104
Sri Lanka,Germany,7,81,51,9,58017
Zimbabwe,Malawi,-20,30,-13.5,34,57580
Poland,Australia,52,20,-27,133,57567
Latvia,Germany,57,25,51,9,56469
Australia,New Zealand,-27,133,-41,174,56375
Belarus,Lithuania,53,28,56,24,56314
Ukraine,Israel,49,32,31.5,34.75,56111
Germany,Italy,51,9,42.8333,12.8333,55821
Italy,Brazil,42.8333,12.8333,-10,-55,54958
Ukraine,Canada,49,32,60,-95,53801
Belgium,France,50.8333,4,46,2,53553
Ukraine,Latvia,49,32,57,25,53535
India,Qatar,20,77,25.5,51.25,52788
Sri Lanka,Australia,7,81,-27,133,52695
Haiti,Canada,19,-72.4167,60,-95,52606
Angola,Namibia,-12.5,18.5,-22,17,52200
Armenia,Ukraine,40,45,49,32,52168
Lebanon,Germany,33.8333,35.8333,51,9,51611
Croatia,Australia,45.1667,15.5,-27,133,51426
Bosnia and Herzegovina,Sweden,44,18,62,15,50956
Colombia,Ecuador,4,-72,-2,-77.5,50510
Thailand,Malaysia,15,100,2.5,112.5,50423
Ireland,Australia,53,-8,-27,133,49765
Senegal,Italy,14,-14,42.8333,12.8333,49590
Iraq,Germany,33,44,51,9,49506
Bosnia and Herzegovina,Switzerland,44,18,47,8,49417
Hungary,Canada,47,20,60,-95,49398
Bangladesh,Pakistan,24,90,30,70,48910
Jamaica,France,18.25,-77.5,46,2,48902
Iraq,Sweden,33,44,62,15,48824
Croatia,Slovenia,45.1667,15.5,46,15,48609
Brazil,Portugal,-10,-55,39.5,-8,48521
Romania,Spain,46,25,40,-4,47854
France,Guadeloupe,46,2,16.25,-61.5833,47533
Poland,Kazakhstan,52,20,48,68,47273
Spain,Belgium,40,-4,50.8333,4,47129
Peru,Italy,-10,-76,42.8333,12.8333,46851
Samoa,New Zealand,-13.5833,-172.3333,-41,174,46795
Algeria,Israel,28,3,31.5,34.75,46734
Zimbabwe,Mozambique,-20,30,-18.25,35,46688
France,Italy,46,2,42.8333,12.8333,46629
Malta,Australia,35.8333,14.5833,-27,133,46557
Indonesia,Australia,-5,120,-27,133,46488
Cambodia,Germany,13,105,51,9,46299
Zambia,Zimbabwe,-15,30,-20,30,45838
Argentina,Chile,-34,-64,-30,-71,45713
Portugal,Spain,39.5,-8,40,-4,45479
China,Myanmar,35,105,22,98,45384
Croatia,Switzerland,45.1667,15.5,47,8,45025
Namibia,South Africa,-22,17,-29,24,44473
Mozambique,Tanzania,-18.25,35,TZA,-6,44345
Liberia,Cote d'Ivoire,6.5,-9.5,8,-5,44023
Fiji,Australia,-18,175,-27,133,43695
South Africa,Zimbabwe,-29,24,-20,30,43624
Spain,Brazil,40,-4,-10,-55,43545
Poland,Italy,52,20,42.8333,12.8333,43300
Peru,Spain,-10,-76,40,-4,43277
Kazakhstan,Belarus,48,68,53,28,43252
India,Italy,20,77,42.8333,12.8333,43249
Peru,Japan,-10,-76,36,138,43220
Kenya,Uganda,1,38,1,32,43186
Switzerland,Spain,47,8,40,-4,43159
Lebanon,Saudi Arabia,33.8333,35.8333,25,45,43106
Mexico,Canada,23,-102,60,-95,42939
Estonia,Germany,59,26,51,9,42892
Turkmenistan,Uzbekistan,40,60,41,64,42565
Sri Lanka,Italy,7,81,42.8333,12.8333,42113
Togo,Cote d'Ivoire,8,1.1667,8,-5,42108
Guinea-Bissau,Senegal,12,-15,14,-14,42094
Ghana,Burkina Faso,8,-2,13,-2,42086
Norway,Sweden,62,10,62,15,42012
Somalia,Djibouti,10,49,11.5,43,41968
Bangladesh,Afghanistan,24,90,33,65,41817
Morocco,Algeria,32,-5,28,3,41770
Ukraine,Georgia,49,32,42,43.5,41382
Portugal,Luxembourg,39.5,-8,49.75,6.1667,41352
Norway,Germany,62,10,51,9,41266
Nigeria,Cote d'Ivoire,10,8,8,-5,40975
Cuba,Spain,21.5,-80,40,-4,40965
Iraq,Saudi Arabia,33,44,25,45,40672
Indonesia,France,-5,120,46,2,40544
Senegal,Mauritania,14,-14,20,-12,40517
Togo,Ghana,8,1.1667,8,-2,40506
Guinea,Liberia,11,-10,6.5,-9.5,40011
Poland,Sweden,52,20,62,15,39685
India,Bahrain,20,77,26,50.55,39310
Oman,Kuwait,21,57,29.3375,47.6581,39307
Equatorial Guinea,Gabon,2,10,-1,11.75,38709
Croatia,Canada,45.1667,15.5,60,-95,38533
Switzerland,Germany,47,8,51,9,38509
China,New Zealand,35,105,-41,174,38332
El Salvador,Canada,13.8333,-88.9167,60,-95,38167
Denmark,Sweden,56,10,62,15,37783
Germany,Sweden,51,9,62,15,37748
Lithuania,Ukraine,56,24,49,32,37696
Hungary,France,47,20,46,2,37635
France,Martinique,46,2,14.6667,-61,37431
Pakistan,Germany,30,70,51,9,37323
Bosnia and Herzegovina,France,44,18,46,2,37277
Argentina,Israel,-34,-64,31.5,34.75,36951
France,Poland,46,2,52,20,36937
South Africa,Canada,-29,24,60,-95,36613
Somalia,Kenya,10,49,1,38,36512
Iraq,Jordan,33,44,31,36,36440
Brazil,Argentina,-10,-55,-34,-64,36424
Germany,Belgium,51,9,50.8333,4,35924
Portugal,Mozambique,39.5,-8,-18.25,35,35888
India,Germany,20,77,51,9,35486
Afghanistan,Qatar,33,65,25.5,51.25,35442
Peru,Chile,-10,-76,-30,-71,35416
India,Lebanon,20,77,33.8333,35.8333,35326
India,Myanmar,20,77,22,98,35178
Cameroon,Chad,6,12,15,19,35126
Georgia,Kazakhstan,42,43.5,48,68,35075
Turkey,Israel,39,35,31.5,34.75,34791
Syrian Arab Republic,Jordan,35,38,31,36,34663
Burundi,Rwanda,-3.5,30,-2,30,34616
Nepal,Pakistan,28,84,30,70,34515
Ghana,Italy,8,-2,42.8333,12.8333,34481
Afghanistan,Bahrain,33,65,26,50.55,34419
Latvia,Ukraine,57,25,49,32,34354
Sri Lanka,Switzerland,7,81,47,8,34182
Sweden,Norway,62,15,62,10,34109
Bulgaria,Greece,43,25,39,22,33726
Pakistan,Qatar,30,70,25.5,51.25,33685
Saudi Arabia,Kuwait,25,45,29.3375,47.6581,33493
Turkmenistan,Kazakhstan,40,60,48,68,33227
Singapore,Australia,1.3667,103.8,-27,133,33007
Ukraine,Tajikistan,49,32,39,71,32679
Japan,Germany,36,138,51,9,32574
Tajikistan,Ukraine,39,71,49,32,32386
Albania,France,41,20,46,2,32356
Germany,Israel,51,9,31.5,34.75,32343
Burkina Faso,Ghana,13,-2,8,-2,31964
France,Israel,46,2,31.5,34.75,31949
Swaziland,South Africa,-26.5,31.5,-29,24,31891
Canada,France,60,-95,46,2,31846
Azerbaijan,Kazakhstan,40.5,47.5,48,68,31823
Estonia,Finland,59,26,64,26,31597
Turkey,Sweden,39,35,62,15,31545
Zimbabwe,Zambia,-20,30,-15,30,31538
Bangladesh,Kuwait,24,90,29.3375,47.6581,31310
Thailand,Japan,15,100,36,138,31272
Austria,Switzerland,47.3333,13.3333,47,8,31194
Kenya,Tanzania,1,38,TZA,-6,31182
Switzerland,France,47,8,46,2,31121
Hungary,Israel,47,20,31.5,34.75,30852
Poland,Austria,52,20,47.3333,13.3333,30833
Lesotho,Malawi,-29.5,28.5,-13.5,34,30454
India,Bhutan,20,77,27.5,90.5,30431
Brunei Darussalam,India,4.5,114.6667,20,77,30378
Eritrea,Saudi Arabia,15,39,25,45,30072
Cambodia,Thailand,13,105,15,100,29620
Australia,France,-27,133,46,2,29613
Turkey,Australia,39,35,-27,133,29407
Turkey,Denmark,39,35,56,10,29369
Croatia,Italy,45.1667,15.5,42.8333,12.8333,29209
Rwanda,Burundi,-2,30,-3.5,30,29159
Cyprus,France,35,33,46,2,29024
Sweden,Finland,62,15,64,26,28981
Brazil,Italy,-10,-55,42.8333,12.8333,28977
Georgia,Uzbekistan,42,43.5,41,64,28942
Paraguay,Brazil,-23,-58,-10,-55,28828
France,Algeria,46,2,28,3,28772
Lithuania,Latvia,56,24,57,25,28666
Togo,Benin,8,1.1667,9.5,2.25,28664
Sri Lanka,Oman,7,81,21,57,28630
Ghana,Togo,8,-2,8,1.1667,28291
Bosnia and Herzegovina,Denmark,44,18,56,10,28233
Mauritania,Ghana,20,-12,8,-2,28145
Lithuania,France,56,24,46,2,28059
Suriname,France,4,-56,46,2,28022
Argentina,Brazil,-34,-64,-10,-55,27553
Turkmenistan,Israel,40,60,31.5,34.75,27310
South Africa,Namibia,-29,24,-22,17,27234
Uzbekistan,Turkmenistan,41,64,40,60,27020
Canada,Australia,60,-95,-27,133,26989
Denmark,France,56,10,46,2,26958
Bosnia and Herzegovina,Italy,44,18,42.8333,12.8333,26927
Syrian Arab Republic,Libya,35,38,25,17,26914
Nigeria,Italy,10,8,42.8333,12.8333,26868
Brazil,Spain,-10,-55,40,-4,26797
Portugal,Belgium,39.5,-8,50.8333,4,26651
Nigeria,Benin,10,8,9.5,2.25,26569
Germany,Denmark,51,9,56,10,26565
Chile,Sweden,-30,-71,62,15,26547
Japan,Canada,36,138,60,-95,26474
Mali,Gabon,17,-4,-1,11.75,26445
Sweden,France,62,15,46,2,26342
Germany,Portugal,51,9,39.5,-8,26214
Malawi,South Africa,-13.5,34,-29,24,26143
Syrian Arab Republic,Germany,35,38,51,9,26114
Tanzania,Uganda,TZA,-6,1,32,25928
Iraq,Canada,33,44,60,-95,25895
Ireland,Canada,53,-8,60,-95,25685
South Africa,New Zealand,-29,24,-41,174,25663
Bosnia and Herzegovina,Canada,44,18,60,-95,25468
Ethiopia,Djibouti,8,38,11.5,43,25437
Fiji,New Zealand,-18,175,-41,174,25402
Morocco,Canada,32,-5,60,-95,25307
Tunisia,Germany,34,9,51,9,25260
Ukraine,Estonia,49,32,59,26,25185
Argentina,Uruguay,-34,-64,-33,-56,25146
Japan,Australia,36,138,-27,133,25107
Austria,France,47.3333,13.3333,46,2,25076
Benin,Gabon,9.5,2.25,-1,11.75,25017
France,Morocco,46,2,32,-5,24973
France,New Caledonia,46,2,-21.5,165.5,24944
Turkmenistan,Ukraine,40,60,49,32,24926
Pakistan,Italy,30,70,42.8333,12.8333,24846
Uruguay,Brazil,-33,-56,-10,-55,24756
Chile,Canada,-30,-71,60,-95,24690
Romania,Austria,46,25,47.3333,13.3333,24647
Spain,Andorra,40,-4,42.5,1.5,24505
Senegal,Cote d'Ivoire,14,-14,8,-5,24478
Iraq,Australia,33,44,-27,133,24467
Brazil,Germany,-10,-55,51,9,24428
Norway,France,62,10,46,2,24328
Ukraine,Turkmenistan,49,32,40,60,24323
Belgium,Germany,50.8333,4,51,9,24283
Pakistan,Bahrain,30,70,26,50.55,24149
Guatemala,Mexico,15.5,-90.25,23,-102,24148
Germany,South Africa,51,9,-29,24,23930
Afghanistan,Lebanon,33,65,33.8333,35.8333,23718
Armenia,Georgia,40,45,42,43.5,23674
Bosnia and Herzegovina,Australia,44,18,-27,133,23626
Zambia,South Africa,-15,30,-29,24,23518
Cameroon,Gabon,6,12,-1,11.75,23481
Bangladesh,France,24,90,46,2,23422
Chile,Australia,-30,-71,-27,133,23390
Bangladesh,Italy,24,90,42.8333,12.8333,23376
China,Spain,35,105,40,-4,23279
Algeria,Spain,28,3,40,-4,23269
Papua New Guinea,Australia,-6,147,-27,133,23266
Thailand,Australia,15,100,-27,133,23255
Ghana,Germany,8,-2,51,9,22996
Mauritania,Senegal,20,-12,14,-14,22780
Angola,Zambia,-12.5,18.5,-15,30,22777
Belgium,Spain,50.8333,4,40,-4,22756
Cambodia,Australia,13,105,-27,133,22643
Pakistan,Lebanon,30,70,33.8333,35.8333,22542
Hungary,Australia,47,20,-27,133,22538
Switzerland,Italy,47,8,42.8333,12.8333,22202
Slovenia,Croatia,46,15,45.1667,15.5,22177
Denmark,Norway,56,10,62,10,22173
Fiji,Canada,-18,175,60,-95,22154
Belarus,Uzbekistan,53,28,41,64,22143
Thailand,Germany,15,100,51,9,22116
Azerbaijan,Uzbekistan,40.5,47.5,41,64,21996
Georgia,Greece,42,43.5,39,22,21977
Afghanistan,Canada,33,65,60,-95,21969
Austria,Canada,47.3333,13.3333,60,-95,21953
Bangladesh,Canada,24,90,60,-95,21945
Slovenia,Germany,46,15,51,9,21893
Bulgaria,Spain,43,25,40,-4,21845
Colombia,Panama,4,-72,9,-80,21845
Libya,Israel,25,17,31.5,34.75,21830
Ecuador,Italy,-2,-77.5,42.8333,12.8333,21819
Armenia,Germany,40,45,51,9,21695
France,French Polynesia,46,2,-15,-140,21581
Italy,Spain,42.8333,12.8333,40,-4,21481
China,France,35,105,46,2,21460
Denmark,Germany,56,10,51,9,21446
Kazakhstan,Germany,48,68,51,9,21421
Burkina Faso,Mali,13,-2,17,-4,21397
Nepal,Thailand,28,84,15,100,21350
Ethiopia,Saudi Arabia,8,38,25,45,21174
Spain,Mexico,40,-4,23,-102,21133
Romania,Greece,46,25,39,22,21132
Malaysia,Canada,2.5,112.5,60,-95,21105
Liberia,Sierra Leone,6.5,-9.5,8.5,-11.5,21026
France,Nigeria,46,2,10,8,21021
Switzerland,Canada,47,8,60,-95,20984
Kazakhstan,Tajikistan,48,68,39,71,20901
Bulgaria,Qatar,43,25,25.5,51.25,20893
Romania,Turkey,46,25,39,35,20853
Bulgaria,Germany,43,25,51,9,20786
France,French Guiana,46,2,4,-53,20779
Ukraine,Azerbaijan,49,32,40.5,47.5,20764
Estonia,Ukraine,59,26,49,32,20763
Spain,Uruguay,40,-4,-33,-56,20682
India,New Zealand,20,77,-41,174,20667
Guinea,Portugal,11,-10,39.5,-8,20491
Belgium,Canada,50.8333,4,60,-95,20398
Ethiopia,Kenya,8,38,1,38,20332
Argentina,Italy,-34,-64,42.8333,12.8333,20311
Algeria,Canada,28,3,60,-95,20298
Algeria,Germany,28,3,51,9,20295
Kenya,Canada,1,38,60,-95,20230
Ukraine,Lithuania,49,32,56,24,20225
Somalia,Saudi Arabia,10,49,25,45,20163
Indonesia,Kuwait,-5,120,29.3375,47.6581,20073
China,Mauritius,35,105,-20.2833,57.55,19986
Uruguay,Spain,-33,-56,40,-4,19876
Pakistan,Bangladesh,30,70,24,90,19837
Lebanon,Sweden,33.8333,35.8333,62,15,19817
France,Senegal,46,2,14,-14,19807
Somalia,Canada,10,49,60,-95,19798
Bulgaria,Romania,43,25,46,25,19786
Spain,Italy,40,-4,42.8333,12.8333,19609
Rwanda,Tanzania,-2,30,TZA,-6,19608
Australia,Canada,-27,133,60,-95,19585
Germany,Brazil,51,9,-10,-55,19530
Lesotho,Mozambique,-29.5,28.5,-18.25,35,19502
Tanzania,Canada,TZA,-6,60,-95,19394
Bulgaria,Israel,43,25,31.5,34.75,19391
Cyprus,Australia,35,33,-27,133,19299
Sweden,Germany,62,15,51,9,19214
Bangladesh,Qatar,24,90,25.5,51.25,19135
Austria,Australia,47.3333,13.3333,-27,133,19133
Portugal,South Africa,39.5,-8,-29,24,19132
Indonesia,Japan,-5,120,36,138,19130
Nigeria,Togo,10,8,8,1.1667,18989
Sweden,Denmark,62,15,56,10,18757
France,Luxembourg,46,2,49.75,6.1667,18733
Greece,Belgium,39,22,50.8333,4,18659
France,Libya,46,2,25,17,18545
Ukraine,Spain,49,32,40,-4,18491
Cambodia,Canada,13,105,60,-95,18476
Chad,Nigeria,15,19,10,8,18127
Greece,France,39,22,46,2,18096
Argentina,France,-34,-64,46,2,17999
Zambia,Malawi,-15,30,-13.5,34,17987
Hungary,Austria,47,20,47.3333,13.3333,17955
Colombia,France,4,-72,46,2,17931
Colombia,Canada,4,-72,60,-95,17918
Denmark,Canada,56,10,60,-95,17882
Tonga,New Zealand,-20,-175,-41,174,17817
Samoa,American Samoa,-13.5833,-172.3333,-14.3333,-170,17777
Ecuador,France,-2,-77.5,46,2,17761
Peru,Canada,-10,-76,60,-95,17757
Botswana,South Africa,-22,24,-29,24,17676
Senegal,Germany,14,-14,51,9,17526
Thailand,Saudi Arabia,15,100,25,45,17422
Tajikistan,Kazakhstan,39,71,48,68,17313
Turkey,Canada,39,35,60,-95,17305
Mali,Senegal,17,-4,14,-14,17163
Chile,Brazil,-30,-71,-10,-55,17155
France,Australia,46,2,-27,133,17107
India,South Africa,20,77,-29,24,17047
Mexico,Ukraine,23,-102,49,32,16959
Mauritius,Australia,-20.2833,57.55,-27,133,16958
Finland,Germany,64,26,51,9,16932
Azerbaijan,Turkey,40.5,47.5,39,35,16916
Mexico,Spain,23,-102,40,-4,16905
Israel,Canada,31.5,34.75,60,-95,16897
Romania,Bulgaria,46,25,43,25,16801
Nigeria,Chad,10,8,15,19,16799
Cyprus,Greece,35,33,39,22,16742
Cameroon,Nigeria,6,12,10,8,16735
Germany,Hungary,51,9,47,20,16733
Ghana,Canada,8,-2,60,-95,16586
Burundi,Uganda,-3.5,30,1,32,16370
Mozambique,Zambia,-18.25,35,-15,30,16351
Bangladesh,Singapore,24,90,1.3667,103.8,16327
Georgia,Azerbaijan,42,43.5,40.5,47.5,16291
Belarus,Armenia,53,28,40,45,16260
Brazil,China,-10,-55,35,105,16246
Tanzania,Mozambique,TZA,-6,-18.25,35,16207
Norway,Denmark,62,10,56,10,16202
Sri Lanka,Thailand,7,81,15,100,16084
Lebanon,Brazil,33.8333,35.8333,-10,-55,16068
Uganda,Rwanda,1,32,-2,30,16028
Lebanon,Nigeria,33.8333,35.8333,10,8,15961
France,Turkey,46,2,39,35,15948
Pakistan,Nepal,30,70,28,84,15925
Algeria,Italy,28,3,42.8333,12.8333,15861
Algeria,Tunisia,28,3,34,9,15846
Ireland,Germany,53,-8,51,9,15805
Japan,Thailand,36,138,15,100,15779
