Region,Country Name,Mobile users per capita,Population,Year,Migration: Top 3 destinations,Migration: Top 3 sources
Africa,Chad,0.00,8222327,2000,"[('Cameroon', '65397'), ('Nigeria', '18127'), ('Sudan', '12323')]","[('Cameroon', '35126'), ('Nigeria', '16799'), ('Sudan', '10800')]"
NA,Channel Islands,NA,145330,2000,"[('Afghanistan', '0'), ('Albania', '0'), ('Algeria', '0')]","[('Afghanistan', '0'), ('Albania', '0'), ('Algeria', '0')]"
The Americas,Chile,0.22,15419820,2000,"[('Argentina', '219104'), ('United States', '85597'), ('Sweden', '26547')]","[('Argentina', '45713'), ('Peru', '35416'), ('Bolivia', '10556')]"
Asia,China,0.07,1262645000,2000,"[('Hong Kong SAR, China', '2164744'), ('United States', '1016412'), ('Singapore', '348383')]","[('Korea, Rep.', '47152'), ('Korea, Dem. Rep.', '40337'), ('Philippines', '17828')]"
The Americas,Colombia,0.06,39764166,2000,"[('Venezuela, RB', '617744'), ('United States', '533019'), ('Spain', '140748')]","[('Venezuela, RB', '37169'), ('United States', '15062'), ('Ecuador', '11366')]"
Africa,Comoros,0.00,562469,2000,"[('Mayotte', '29800'), ('Madagascar', '7378'), ('United Kingdom', '4902')]","[('Madagascar', '11403'), ('Mayotte', '1010'), ('France', '573')]"
Africa,"Congo, Dem. Rep.",0.00,49626200,2000,"[('Rwanda', '288278'), ('Uganda', '86624'), ('Sudan', '53612')]","[('France', '51717'), ('Belgium', '34358'), ('United Kingdom', '29360')]"
Africa,"Congo, Rep.",0.02,3135773,2000,"[('South Africa', '7316'), ('Gabon', '7284'), ('Zimbabwe', '4819')]","[('Congo, Dem. Rep.', '13781'), ('Central African Republic', '1739'), ('Angola', '1693')]"
The Americas,Costa Rica,0.05,3919180,2000,"[('United States', '76623'), ('Nicaragua', '5469'), ('Panama', '4735')]","[('Nicaragua', '226582'), ('Panama', '10279'), ('United States', '9520')]"
Africa,Cote d'Ivoire,0.03,16581653,2000,"[('Burkina Faso', '418038'), ('Mali', '74193'), ('Italy', '12381')]","[('Burkina Faso', '1252098'), ('Mali', '444425'), ('Guinea', '129807')]"
Europe,Croatia,0.23,4426000,2000,"[('Germany', '224721'), ('Austria', '85547'), ('United States', '58970')]","[('Bosnia and Herzegovina', '459328'), ('Serbia and Montenegro', '87639'), ('Slovenia', '22177')]"
The Americas,Cuba,0.00,11104313,2000,"[('United States', '894560'), ('Spain', '40965'), ('United Kingdom', '18288')]","[('Spain', '5209'), ('Russian Federation', '2186'), ('Haiti', '1005')]"
The Americas,Curacao,NA,133860,2000,[],[]
Europe,Cyprus,0.23,943294,2000,"[('United Kingdom', '79291'), ('France', '29024'), ('Australia', '19299')]","[('United Kingdom', '16800'), ('Greece', '10857'), ('Georgia', '6945')]"
Europe,Czech Republic,0.42,10272322,2000,"[('Germany', '402366'), ('France', '220766'), ('Slovak Republic', '74910')]","[('Slovak Republic', '287874'), ('Ukraine', '33595'), ('Poland', '24924')]"
Europe,Denmark,0.63,5339616,2000,"[('Sweden', '37783'), ('United States', '33156'), ('France', '26958')]","[('Turkey', '29369'), ('Bosnia and Herzegovina', '28233'), ('Germany', '26565')]"
